0 29 19
1 82 81
2 10 8
3 22 13
4 53 41
5 50 49
6 7 5
7 19 18
8 77 45
9 223 165
10 10 8
11 38 32
12 6 5
13 15 7
14 26 15
15 69 52
16 24 16
17 35 24
18 6 4
19 33 25
20 18 8
21 82 70
22 14 10
23 59 55
24 8 2
25 28 23
26 14 7
27 40 30
28 56 44
29 185 135
30 9 8
31 40 37
32 4 4
33 17 14
34 6 0
35 18 17
36 15 12
37 10 7
38 6 4
39 14 13
40 13 10
41 29 25
42 7 3
43 13 12
44 12 9
45 32 29
46 16 10
47 14 11
48 12 10
49 21 20
50 14 12
51 11 9
52 10 5
53 15 12
54 11 2
55 32 32
56 12 3
57 39 38
58 3 1
59 19 18
60 7 5
61 63 61
62 61 21
63 192 184
64 13 4
65 45 42
66 5 0
67 15 15
68 29 7
69 169 158
70 5 3
71 32 29
72 11 9
73 46 44
74 8 3
75 38 32
76 4 3
77 18 16
78 15 3
79 45 44
80 5 0
81 15 15
82 29 7
83 169 167
84 16 12
85 33 29
86 37 23
87 235 230
88 13 8
89 58 53
90 18 16
91 24 22
