0 2 0.2 0 0.4937943328
0.3950354662 1 1 0.2 0
0 1.012189544 2 1 0.2
0 0 0.2395388459 3 3
0.2 1.466066264 2.290728537 1.832582829 4
1 0.2 0 0 1.223457083
5 1 0.2 0 0
0.2804664161 6 1 0.2 0
0 1.577336191 7 1 0.2
0 0 0.3104207877 8 1
0.2 0 0 3.492359288 9
2 0.2 0 16.70684024 13.36547219
10 0 0.2 0.7185318633 0
0.8981648291 11 1 0.2 0
0 1.09144528 12 0 0.2
3.020941306 0 3.776176632 13 1
0.2 0 0 2.345316134 14
1 0.2 0 0 0.2779837532
15 1 0.2 0 0
0.3238841597 16 1 0.2 0
0 0.7410627556 17 1 0.2
0 0 0.2719771358 18 0
0.2 1.413733549 0 1.767166937 19
2 0.2 0 0.2826816699 0.2261453359
20 3 0.2 0.5171824706 0.8080976103
0.6464780882 21 2 0.2 0
1.057414372 0.8459314972 22 1 0.2
0 0 0.2069325441 23 2
0.2 0 0.3752327962 0.300186237 24
0 0.2 0.7961145856 0 0.995143232
25 1 0.2 0 0
0.4761145187 26 1 0.2 0
0 0.2355673078 27 1 0.2
0 0 0.8400352427 28 1
0.2 0 0 4.329175833 29
3 0.2 0.715345801 1.117727814 0.8941822512
30 1 0.2 0 0
0.349059155 31 1 0.2 0
0 0.5918111177 32 3 0.2
0.2662853872 0.4160709175 0.332856734 33 1
0.2 0 0 1.826536435 34
1 0.2 0 0 0.3019911674
35 1 0.2 0 0
0.4839593355 36 1 0.2 0
0 0.3880567033 37 1 0.2
0 0 1.667883299 38 0
0.2 2.322175503 0 2.902719378 39
2 0.2 0 0.5177962459 0.4142369967
40 0 0.2 0.7372845564 0
0.9216056955 41 3 0.2 0.7517532807
1.174614501 0.939691601 42 2 0.2
0 2.468683339 1.974946672 43 1
0.2 0 0 0.5390704363 44
3 0.2 0.6371833634 0.9955990053 0.7964792043
45 1 0.2 0 0
0.8812193728 46 1 0.2 0
0 0.3347977737 47 3 0.2
1.762298470 2.753591359 2.202873087 48 1
0.2 0 0 0.6048871922 49
0 0.2 0.6270127543 0 0.7837659429
50 1 0.2 0 0
1.680389743 51 0 0.2 0.2026664144
0 0.253333018 52 1 0.2
0 0 3.514737498 53 1
0.2 0 0 1.356225917 54
1 0.2 0 0 0.2149703503
55 3 0.2 0.3420331996 0.5344268744
0.4275414995 56 0 0.2 0.7622142352
0 0.952767794 57 1 0.2
0 0 0.610622414 58 1
0.2 0 0 0.5943502164 59
1 0.2 0 0 0.476708489
60 2 0.2 0 0.4025302334
0.3220241867 61 0 0.2 0.4543113267
0 0.5678891584 62 0 0.2
0.2 0 0.2187679974 63 1
0.2 0 0 0.4101711185 64
2 0.2 0 0.4976385844 0.3981108675
65 2 0.2 0 0.6257461125
0.50059689 66 1 0.2 0
0 0.2357261711 67 1 0.2
0 0 1.158083132 68 2
0.2 0 1.135754123 0.9086032982 69
1 0.2 0 0 1.063723739
70 2 0.2 0 0.2954744377
0.2363795502 71 2 0.2 0
0.9119744954 0.7295795963 72 2 0.2
0 0.5386449175 0.430915934 73 3
0.2 0.3685673078 0.5758864184 0.4607091348 74
2 0.2 0 0.3545470253 0.2836376202
75 3 0.2 0.41395828 0.6468098125
0.51744785 76 1 0.2 0
0 0.2723796873 77 1 0.2
0 0 0.2675188962 78 3
0.2 0.4051807772 0.6330949644 0.5064759715 79
2 0.2 0 0.3213217027 0.2570573622
80 1 0.2 0 0
0.4675127777 81 1 0.2 0
0 0.3895664903 82 0 0.2
0.7336420993 0 0.9170526242 83 2
0.2 0 1.022998686 0.818398949 84
1 0.2 0 0 0.9690943624
85 0 0.2 0.3826067157 0
0.4782583947 86 1 0.2 0
0 0.354223853 87 1 0.2
0 0 0.2088137826 88 3
0.2 1.070573487 1.672771074 1.338216859 89
1 0.2 0 0 0.2758076337
90 1 0.2 0 0
1.43072832 91 2 0.2 0
0.4995996244 0.3996796995 92 2 0.2
0 0.5758731042 0.4606984834 93 1
0.2 0 0 1.347653356 94
2 0.2 0 0.4319594041 0.3455675233
95 1 0.2 0 0
0.5774972286 96 2 0.2 0
0.4174951305 0.3339961044 97 1 0.2
0 0 0.4264179538 98 1
0.2 0 0 0.3749048824 99
1 0.2 0 0 0.3544057640
