"East" "South"
137.107060862898 7180.72323870337
137.878434063188 7182.05637377801
138.349281321436 7183.46338336848
139.025329569932 7186.17119773534
139.799567671651 7187.55155483959
141.202820397379 7189.54703734119
143.471389666599 7191.64983035607
145.75689164105 7195.46256025629
147.466671125785 7197.35250355221
148.381848466469 7199.95056988313
149.181030820052 7204.68648649835
150.224057137345 7207.03459764398
150.882817324394 7209.01891588032
152.378284420341 7211.37765578379
153.439948303579 7211.72575546705
154.170628733139 7212.99077285367
153.953175080575 7215.47023547718
153.00107283387 7217.17750165742
151.665540313298 7218.42145111431
150.853647126437 7220.08180441171
151.19968176958 7221.9028881772
150.677390659304 7223.77798894196
150.889872881584 7226.26838417168
152.450955568391 7231.72504245246
152.40298910412 7236.27615044042
153.549778164758 7239.30910837597
154.633843597632 7242.40372101203
155.393759211531 7248.17619301873
157.148957049021 7254.59649332862
157.940698399655 7256.47714661047
159.199189078635 7257.6268827547
160.33538033821 7259.31742257394
161.092909631509 7262.62432877545
162.20154837136 7265.01632999142
163.387961326474 7268.51927504447
164.011479653802 7276.33089196605
163.649506943856 7278.43147442546
161.984008741521 7282.97841535208
161.786219067995 7286.26705686198
163.098709639694 7290.96079798475
165.69351922109 7294.55047703435
167.199254045102 7297.01740175492
168.810624159438 7300.64612797976
169.382427604604 7302.30144173781
168.091908802001 7308.01193617149
166.516677982232 7310.61879359177
162.569350320563 7313.97430889876
162.349670444688 7315.96582444642
162.423690416848 7318.02191489856
161.890985807837 7318.86682413544
161.83377681196 7320.46313905008
160.286621547547 7324.19518201618
160.213767096528 7325.58894582697
160.078030040515 7326.14312782808
161.147749587231 7328.87268766552
164.017417852981 7331.2278271296
165.728199271048 7334.03124153305
165.852873825627 7334.23556478862
166.629962996169 7334.88381836314
166.947768107244 7335.05178995856
169.785227748667 7335.93701674417
170.304244073266 7336.28347291651
177.401664097954 7342.1179975715
177.629949590885 7342.23417705999
181.529993586646 7344.21749105659
183.445988029237 7346.57023165886
184.482885153463 7348.2348461798
186.375688091305 7354.65003098879
185.871000664879 7357.27677512464
185.43275481405 7359.55756143514
185.910616897056 7361.05733781541
185.594304759437 7361.70882295781
185.779203915146 7363.73295085741
185.793919980366 7363.89412855933
186.503922272091 7368.45574324807
188.377880157803 7372.0070148203
188.682238171284 7372.88670190657
188.851685321047 7377.0642343209
188.855961599435 7377.17051231804
189.448872148309 7379.14337908679
190.671993578218 7381.05230135909
190.913068970365 7383.61811817982
191.35673168759 7388.3390417604
192.962990218814 7392.95492436238
193.191898837981 7396.69187586658
195.269590721803 7402.39706658697
195.814218852256 7403.08827411529
196.983471879742 7404.04053547656
197.362444338928 7404.20359988834
197.458936417121 7404.19911913205
200.431475461496 7404.06171153786
206.043303524562 7407.07484967639
