 -0.044748 -0.122212 -0.258619 -0.059004 -0.062993 0.115491 0.116322 -0.282820 -0.695132 -0.344535
 -0.199225 -0.018802 -0.481043 -0.028022 0.053119 0.241606 0.273399 -0.218818 -0.779342 -0.476265
 -0.019609 0.254209 -0.248771 0.196062 0.301299 0.360631 0.140784 -0.215650 -0.581069 -0.524704
 0.371609 0.461033 0.126873 0.182311 0.382152 -0.060498 -0.616755 -1.069003 -0.686024 -0.554652
 0.200790 0.082624 0.040140 -0.283273 -0.041935 -0.303593 -0.931369 -1.364732 -0.703355 -0.597859
 -0.151564 -0.134562 0.014824 -0.644206 -0.205411 0.092783 -0.333028 -0.727867 -0.565959 -0.521412
 -0.391306 -0.241834 0.105175 -0.550157 -0.517510 -0.367049 -0.426293 -0.260349 -0.207978 -0.019115
 -0.410552 -0.530778 -0.271184 -0.343162 -0.637766 -0.809161 -0.661543 -0.160514 0.106944 0.501657
 -0.338803 -0.555018 -0.416628 -0.145313 -0.291894 -0.642139 -0.513764 -0.200522 -0.087882 0.385367
 -0.356411 -0.464957 -0.546691 -0.328313 -0.331127 -0.544594 -0.425852 -0.341897 -0.302633 0.111806
